City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
7,Puerto Escondido,MX,80.85,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
8,Butaritari,KI,82.69,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
10,Grajau,BR,80.55,overcast clouds,-5.8194,-46.1386,Hotel Confiança
13,Airai,TL,81.18,broken clouds,-8.9266,125.4092,Juvinal Martin
18,Hasaki,JP,79.29,clear sky,35.7333,140.8333,Hotel Sunrise Choshi
28,Metro,ID,88.59,overcast clouds,-5.1131,105.3067,OYO 3177 Wisma Lintang
30,Mabaruma,GY,76.98,overcast clouds,8.2,-59.7833,Monty Brooms Guest House
31,Santa Ines,BR,78.51,scattered clouds,-3.6667,-45.38,Palace hotel
33,Atuona,PF,78.22,few clouds,-9.8,-139.0333,Villa Enata
40,Urubicha,BO,87.96,broken clouds,-15.3833,-62.95,
42,Alcantara,BR,82.6,scattered clouds,-2.4089,-44.4147,Pousada da Josefa
50,Taoudenni,ML,86.0,scattered clouds,22.6783,-3.9836,
51,Padang,ID,86.05,broken clouds,-0.9492,100.3543,Mercure Padang
52,Sao Filipe,CV,77.81,broken clouds,14.8961,-24.4956,Hotel Xaguate
54,Carnarvon,AU,77.07,clear sky,-24.8667,113.6333,Hospitality Carnarvon
56,Sampit,ID,82.8,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
57,Clarence Town,AU,76.6,scattered clouds,-32.5833,151.7833,River Downs Cottage
59,Muli,MV,83.17,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
60,Avarua,CK,78.85,few clouds,-21.2078,-159.775,Paradise Inn
61,Kapaa,US,82.38,moderate rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
64,Georgetown,MY,89.53,few clouds,5.4112,100.3354,Cititel Penang
66,Ban Dung,TH,77.88,overcast clouds,17.699,103.2596,Heuan Na Khee
69,Cairns,AU,85.1,moderate rain,-16.9167,145.7667,Mantra Trilogy Cairns
70,Axim,GH,77.47,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
72,Nuevo Progreso,MX,82.6,overcast clouds,23.1667,-97.95,Balneario Rio el Paraiso
79,Isangel,VU,80.71,broken clouds,-19.55,169.2667,Tanna Lodge
80,Vanimo,PG,87.58,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
82,Gayeri,BF,82.54,scattered clouds,12.6497,0.4931,
86,San Antonio,US,78.91,clear sky,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
87,Cocobeach,GA,80.53,moderate rain,1.0002,9.5823,Hotel Esperance
92,Mayumba,GA,75.94,scattered clouds,-3.432,10.6554,LIKWALE LODGE
94,Omboue,GA,76.91,overcast clouds,-1.5746,9.2618,Hotel Olako
97,Houma,US,80.01,overcast clouds,29.5958,-90.7195,Courtyard by Marriott Houma
99,Tarakan,ID,83.7,scattered clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
102,Olinda,BR,80.33,broken clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
104,San Policarpo,PH,81.41,scattered clouds,12.1791,125.5072,Agapita M. Nicart
110,Mamallapuram,IN,84.25,overcast clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
116,Sri Aman,MY,86.09,few clouds,1.2376,111.4621,Seri Simanggang Hotel
119,Bubaque,GW,83.7,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
125,Gizo,SB,85.14,light rain,-8.103,156.8419,Imagination Island
127,Dingle,PH,82.65,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
131,Nioro,GM,75.0,clear sky,13.35,-15.75,
132,Victoria,HK,81.32,overcast clouds,22.2855,114.1577,Mini Hotel Central
134,Dwarka,IN,82.8,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
138,Fare,PF,80.58,few clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
139,Hithadhoo,MV,83.55,overcast clouds,-0.6,73.0833,Scoop Guest House
141,San Borja,BO,82.33,overcast clouds,-14.8167,-66.85,
146,Phan Thiet,VN,86.52,broken clouds,10.9333,108.1,Hotel Saigon-PT
148,Mitu,CO,77.23,few clouds,1.1983,-70.1733,
150,Matara,LK,82.69,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
154,Faanui,PF,80.83,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
157,Itamaraca,BR,80.65,clear sky,-7.7478,-34.8256,Special K's Bed & Breakfast
158,Lagos,NG,77.32,scattered clouds,6.5833,3.75,
159,Almeirim,BR,80.55,broken clouds,-1.5233,-52.5817,Ricácio Hotel
161,Vaini,TO,80.76,broken clouds,-21.2,-175.2,Keleti Beach Resort
165,Zhuhai,CN,81.05,scattered clouds,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
166,Bengkulu,ID,82.58,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
170,Meulaboh,ID,83.89,scattered clouds,4.1363,96.1285,Kost Pria
178,Bathsheba,BB,81.21,broken clouds,13.2167,-59.5167,Atlantis Hotel
181,Gold Coast,AU,86.34,scattered clouds,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
193,Caravelas,BR,76.26,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
195,Makakilo City,US,77.32,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
198,Santa Cruz,BO,85.46,moderate rain,-17.8,-63.1667,Aviador Hotel Boutique
202,Myitkyina,MM,77.34,overcast clouds,25.3833,97.4,Shwe Phyu Hotel
204,Garowe,SO,79.3,light rain,8.4054,48.4845,Curubo Hotel
206,Cururupu,BR,76.91,broken clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
211,Sola,VU,84.87,scattered clouds,-13.8833,167.55,Leumerus Bungalows
214,Ranong,TH,80.53,overcast clouds,9.9658,98.6348,Tinidee Hotel@Ranong
219,Carauari,BR,79.86,scattered clouds,-4.8828,-66.8958,Hotel Fellip
230,Cayenne,GF,81.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
233,Mareeba,AU,81.48,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
236,Merauke,ID,80.08,overcast clouds,-8.4667,140.3333,
237,Saint-Georges,GD,83.88,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
239,Urucui,BR,84.2,overcast clouds,-7.2294,-44.5561,Hotel Premium Piauí
240,Bairiki,KI,86.0,broken clouds,1.3292,172.9752,Tarawa Boutique Hotel
243,Biak,ID,84.33,overcast clouds,-0.9131,122.8766,Penginapan Kim
245,Cravo Norte,CO,81.9,overcast clouds,6.3017,-70.2041,Hotel Potosí Los Mirtos
253,Palembang,ID,86.09,scattered clouds,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
255,Adrar,MR,80.13,clear sky,20.5022,-10.0711,
258,Dakar,SN,77.88,clear sky,14.6937,-17.4441,Redface Studios Meublés
260,Luorong,CN,76.24,scattered clouds,24.4058,109.6086,荣立大酒店
261,Acapulco,MX,81.59,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
263,San Patricio,US,82.24,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
264,Novo Aripuana,BR,80.35,overcast clouds,-5.1206,-60.3797,POUSADA Flexy
266,Mount Isa,AU,83.97,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
267,Det Udom,TH,86.94,overcast clouds,14.906,105.0784,Chatsuda Resort
268,Ellenabad,IN,79.7,clear sky,29.45,74.65,Lovelysweets
273,Bandarbeyla,SO,78.28,overcast clouds,9.4942,50.8122,JABIR HOTEL
280,Koungou,YT,76.71,overcast clouds,-12.7336,45.2042,Villa Netibor
285,Samarai,PG,82.38,overcast clouds,-10.6167,150.6667,Nuli Sapi
289,Lookan,PH,84.6,overcast clouds,5.037,120.1027,
292,Sao Felix Do Xingu,BR,75.18,heavy intensity rain,-6.6447,-51.995,Rio Xingu Camping
295,Codajas,BR,80.28,few clouds,-3.8367,-62.0569,Atlântic Hotel
297,Honiara,SB,85.46,broken clouds,-9.4333,159.95,Heritage Park Hotel
299,Nagua,DO,79.45,overcast clouds,19.3832,-69.8474,Hotel Cambri
304,Road Town,VG,80.2,overcast clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
307,Kirakira,SB,82.83,broken clouds,-10.4544,161.9205,SanBiz Lodge
309,Alibag,IN,84.27,broken clouds,18.6411,72.8792,"Radisson Blu Resort & Spa - Alibaug, India"
314,Puerto Carreno,CO,80.13,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
320,Labuhan,ID,88.32,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
327,Port Blair,IN,78.84,light rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
330,Port-Gentil,GA,78.69,light rain,-0.7193,8.7815,Fengshui Residence
331,Kahului,US,77.85,overcast clouds,20.8947,-156.47,Maui Seaside Hotel
333,Aden,YE,84.54,overcast clouds,12.7794,45.0367,Sama Emirate Hotel
334,Kavieng,PG,85.15,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
340,Kadoma,JP,78.8,few clouds,34.7333,135.5833,Hotel Agora Osaka Moriguchi
342,Esperanza,DO,78.01,overcast clouds,19.5847,-70.9849,Cabañas Bernard - Alojamientos Turísticos
344,Yarada,IN,80.92,moderate rain,17.65,83.2667,Vishranti
354,Carutapera,BR,78.98,scattered clouds,-1.195,-46.02,Lidera
