City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Country,Date
0,Riyadh,24.6877,46.7219,69.94,24,0,3.8,clear sky,SA,1634266445
1,Puerto Ayora,-0.7393,-90.3518,68.94,81,46,9.53,scattered clouds,EC,1634266509
2,Ushuaia,-54.8,-68.3,40.66,52,20,5.75,few clouds,AR,1634266510
3,Mataura,-46.1927,168.8643,56.52,51,33,7.76,scattered clouds,NZ,1634266510
4,Richards Bay,-28.783,32.0377,66.78,77,8,9.95,clear sky,ZA,1634266511
5,Bambous Virieux,-20.3428,57.7575,74.21,78,40,6.91,scattered clouds,MU,1634266511
6,Kamakwie,9.5,-12.2333,73.42,98,93,1.3,overcast clouds,SL,1634266512
7,Puerto Escondido,15.85,-97.0667,80.85,86,28,4.0,scattered clouds,MX,1634266512
8,Butaritari,3.0707,172.7902,82.69,69,40,16.17,scattered clouds,KI,1634266513
9,Paamiut,61.994,-49.6678,37.4,79,3,12.8,clear sky,GL,1634266514
10,Grajau,-5.8194,-46.1386,80.55,52,88,0.67,overcast clouds,BR,1634266514
11,Bredasdorp,-34.5322,20.0403,48.27,93,100,6.17,overcast clouds,ZA,1634266515
12,De-Kastri,51.4667,140.7833,36.1,87,100,17.22,overcast clouds,RU,1634266515
13,Airai,-8.9266,125.4092,81.18,43,76,1.79,broken clouds,TL,1634266516
14,Dorgos,46.05,21.8333,36.27,86,23,3.04,light snow,RO,1634266516
15,Alberton,46.8168,-64.0654,51.93,86,82,8.14,broken clouds,CA,1634266517
16,Rikitea,-23.1203,-134.9692,74.75,71,49,3.27,scattered clouds,PF,1634266517
17,Albany,42.6001,-73.9662,62.38,91,89,2.8,overcast clouds,US,1634266518
18,Hasaki,35.7333,140.8333,79.29,61,4,5.3,clear sky,JP,1634266519
19,Port-Cartier,50.0334,-66.8654,53.74,84,100,2.66,overcast clouds,CA,1634266519
20,Hilo,19.7297,-155.09,74.93,91,75,6.91,broken clouds,US,1634266520
21,Jamestown,42.097,-79.2353,71.19,91,40,5.01,scattered clouds,US,1634266278
22,Hobart,-42.8794,147.3294,60.66,97,75,1.01,light intensity drizzle,AU,1634266521
23,Tongzi,28.7829,105.0877,59.38,81,100,4.59,overcast clouds,CN,1634266521
24,Sao Joao Da Barra,-21.6403,-41.0511,73.56,92,50,14.2,scattered clouds,BR,1634266522
25,Punta Arenas,-53.15,-70.9167,42.91,75,40,20.71,scattered clouds,CL,1634266522
26,Seoul,37.5683,126.9778,67.51,82,90,4.61,overcast clouds,KR,1634266383
27,Clyde River,70.4692,-68.5914,23.22,70,14,9.53,few clouds,CA,1634266524
28,Metro,-5.1131,105.3067,88.59,53,96,6.2,overcast clouds,ID,1634266524
29,Hvide Sande,56.0045,8.1294,50.29,69,100,28.34,overcast clouds,DK,1634266525
30,Mabaruma,8.2,-59.7833,76.98,90,93,3.22,overcast clouds,GY,1634266525
31,Santa Ines,-3.6667,-45.38,78.51,72,32,5.35,scattered clouds,BR,1634266526
32,Rio Grande,-32.035,-52.0986,66.94,93,100,7.65,overcast clouds,BR,1634266526
33,Atuona,-9.8,-139.0333,78.22,76,18,19.17,few clouds,PF,1634266527
34,Cape Town,-33.9258,18.4232,58.08,83,20,1.99,few clouds,ZA,1634266508
35,Comodoro Rivadavia,-45.8667,-67.5,49.86,27,0,14.97,clear sky,AR,1634266527
36,Bluff,-46.6,168.3333,50.94,65,55,17.47,broken clouds,NZ,1634266528
37,Longyearbyen,78.2186,15.6401,31.84,64,75,23.02,broken clouds,SJ,1634266528
38,Mandalgovi,45.7625,106.2708,25.02,42,58,14.38,broken clouds,MN,1634266529
39,Cardston,49.2,-113.3019,41.29,45,0,12.66,clear sky,CA,1634266529
40,Urubicha,-15.3833,-62.95,87.96,46,54,6.76,broken clouds,BO,1634266530
41,Camana,-16.6228,-72.7111,61.56,90,97,9.53,overcast clouds,PE,1634266530
42,Alcantara,-2.4089,-44.4147,82.6,81,30,10.18,scattered clouds,BR,1634266531
43,Qaanaaq,77.484,-69.3632,11.1,84,66,7.4,broken clouds,GL,1634266531
44,Vila Franca Do Campo,37.7167,-25.4333,72.01,96,100,20.13,overcast clouds,PT,1634266532
45,Tilichiki,60.4667,166.1,26.96,48,4,7.92,clear sky,RU,1634266532
46,Beringovskiy,63.05,179.3167,20.55,75,21,9.1,few clouds,RU,1634266533
47,Husavik,66.0449,-17.3389,44.51,80,69,10.85,broken clouds,IS,1634266533
48,Tommot,58.9564,126.2925,23.4,71,100,7.67,overcast clouds,RU,1634266534
49,Lompoc,34.6391,-120.4579,64.71,68,1,9.22,clear sky,US,1634266534
50,Taoudenni,22.6783,-3.9836,86.0,14,31,6.6,scattered clouds,ML,1634266327
51,Padang,-0.9492,100.3543,86.05,65,83,4.5,broken clouds,ID,1634266535
52,Sao Filipe,14.8961,-24.4956,77.81,75,81,8.48,broken clouds,CV,1634266536
53,Half Moon Bay,37.4636,-122.4286,66.33,55,1,6.91,clear sky,US,1634266536
54,Carnarvon,-24.8667,113.6333,77.07,57,0,10.36,clear sky,AU,1634266537
55,Mahebourg,-20.4081,57.7,74.25,78,40,6.91,scattered clouds,MU,1634266537
56,Sampit,-2.5333,112.95,82.8,80,100,3.62,overcast clouds,ID,1634266538
57,Clarence Town,-32.5833,151.7833,76.6,26,27,16.89,scattered clouds,AU,1634266538
58,Thompson,55.7435,-97.8558,39.36,93,90,8.05,mist,CA,1634266539
59,Muli,2.9167,73.5667,83.17,77,89,21.14,overcast clouds,MV,1634266539
60,Avarua,-21.2078,-159.775,78.85,69,20,5.75,few clouds,CK,1634266540
61,Kapaa,22.0752,-159.319,82.38,76,73,4.0,moderate rain,US,1634266540
62,Umm Bab,25.2142,50.8072,74.88,58,0,7.81,clear sky,QA,1634266541
63,Yellowknife,62.456,-114.3525,40.41,97,20,1.01,few clouds,CA,1634266439
64,Georgetown,5.4112,100.3354,89.53,79,20,3.0,few clouds,MY,1634266542
65,Tuatapere,-46.1333,167.6833,53.1,64,52,10.76,broken clouds,NZ,1634266542
66,Ban Dung,17.699,103.2596,77.88,99,100,7.18,overcast clouds,TH,1634266542
67,Castro,-24.7911,-50.0119,60.1,95,6,4.88,clear sky,BR,1634266543
68,Ilulissat,69.2167,-51.1,32.23,99,100,0.96,overcast clouds,GL,1634266544
69,Cairns,-16.9167,145.7667,85.1,58,100,8.05,moderate rain,AU,1634266486
70,Axim,4.8699,-2.2405,77.47,90,100,5.77,overcast clouds,GH,1634266544
71,La Ronge,55.1001,-105.2842,39.45,87,90,4.61,overcast clouds,CA,1634266545
72,Nuevo Progreso,23.1667,-97.95,82.6,79,99,3.0,overcast clouds,MX,1634266545
73,Necochea,-38.5473,-58.7368,50.04,83,61,10.45,broken clouds,AR,1634266546
74,Seddon,-37.8068,144.8916,65.68,67,40,11.99,light rain,AU,1634266547
75,Iqaluit,63.7506,-68.5145,31.73,69,90,8.01,overcast clouds,CA,1634266547
76,Taltal,-25.4,-70.4833,59.74,76,3,4.92,clear sky,CL,1634266548
77,Palmer,42.1584,-72.3287,64.67,85,20,0.0,few clouds,US,1634266548
78,Karasjok,69.4719,25.5112,32.11,98,100,5.84,light snow,NO,1634266549
79,Isangel,-19.55,169.2667,80.71,74,75,13.8,broken clouds,VU,1634266549
80,Vanimo,-2.6741,141.3028,87.58,65,57,9.93,broken clouds,PG,1634266550
81,Chokurdakh,70.6333,147.9167,8.87,97,99,1.83,overcast clouds,RU,1634266550
82,Gayeri,12.6497,0.4931,82.54,47,25,7.56,scattered clouds,BF,1634266551
83,Constitucion,-35.3333,-72.4167,45.55,77,0,10.49,clear sky,CL,1634266551
84,Stoholm,56.4845,9.1462,51.89,90,100,16.73,overcast clouds,DK,1634266552
85,Oktyabrskoye,43.0645,44.7417,50.14,93,83,2.24,broken clouds,RU,1634266552
